Rest_id,D_ID,D_type,volume,Maker,D_name,Price
1,1,beer,0.4,carlsberg,carlsberg,60
1,2,beer,0.4,carlsberg,tuborg classic,60
1,3,beer,0.4,carlsberg,blanc 1664,65
2,1,beer,0.4,carlsberg,carlsberg,20
2,3,beer,0.4,carlsberg,blanc 1664,20
2,2,beer,0.4,carlsberg,tuborg classic,20
3,1,beer,0.5,carlsberg,carlsberg,35
3,2,beer,0.4,carlsberg,tuborg classic,50
3,5,beer,0.4,diageo,guinness,40
4,2,beer,0.4,carlsberg,tuborg classic,45
4,3,beer,0.4,carlsberg,blanc 1664,50
4,4,beer,0.4,carlsberg,tuborg,45
4,10,shot,0.02,underberg,underberg,35
4,22,cider,0.275,carlsberg,somersby,39
5,20,cider,0.275,smirnoff,smirnoff ice,39
5,21,cider,0.275,cult,mokai,39
5,22,cider,0.275,carlsberg,somersby,39
5,23,cider,0.275,diageo,bacardi breezer,39
6,2,beer,0.4,carlsberg,tuborg classic,49
6,3,beer,0.4,carlsberg,blanc 1664,55
6,4,beer,0.4,carlsberg,tuborg,45
6,21,cider,0.275,cult,mokai,55
6,22,cider,0.275,carlsberg,somersby,55
6,23,cider,0.275,diageo,bacardi breezer,55
7,4,beer,0.5,carlsberg,tuborg,45
7,3,beer,0.5,carlsberg,blanc 1664,65
7,6,beer,0.5,hancock,hancock høker,55
8,4,beer,0.5,carlsberg,tuborg,35
8,2,beer,0.5,carlsberg,tuborg classic,40
8,10,shot,0.02,underberg,underberg,25
8,22,cider,0.275,carlsberg,somersby,30
9,1,beer,0.5,carlsberg,carlsberg,55
9,4,beer,0.5,carlsberg,tuborg,55
9,2,beer,0.5,carlsberg,tuborg classic,55
9,20,cider,0.275,smirnoff,smirnoff ice,45
9,22,cider,0.275,carlsberg,somersby,45
9,23,cider,0.275,diageo,bacardi breezer,45
10,4,beer,0.33,carlsberg,tuborg,40
10,3,beer,0.33,carlsberg,blanc 1664,60
10,10,shot,0.02,underberg,underberg,30
11,6,beer,0.5,hancock,høker,65
11,4,beer,0.4,carlsberg,tuborg,55
11,10,shot,0.02,underberg,underberg,25
11,22,cider,0.275,carlsberg,somersby,30
12,6,beer,0.4,hancock,høker,50
12,1,beer,0.4,carlsberg,carlsberg,20
12,21,cider,0.275,cult,mokai,30
12,20,cider,0.275,smirnoff,smirnoff ice,45
12,2,beer,0.5,carlsberg,tuborg classic,55
13,21,cider,0.275,cult,mokai,39
13,23,cider,0.275,diageo,bacardi breezer,30
13,22,cider,0.275,carlsberg,somersby,30
13,20,cider,0.275,smirnoff,smirnoff ice,30
13,6,beer,0.5,hancock,høker,40
13,4,beer,0.4,carlsberg,tuborg,50
13,10,shot,0.02,underberg,underberg,30
14,10,shot,0.02,underberg,underberg,25
14,22,cider,0.275,carlsberg,somersby,45
14,5,beer,0.5,diageo,guinness,65
14,1,beer,0.5,carlsberg,carlsberg,45
14,4,beer,0.4,carlsberg,tuborg,40
14,20,cider,0.275,smirnoff,smirnoff ice,50
15,20,cider,0.275,smirnoff,smirnoff ice,45
15,3,beer,0.5,carlsberg,blanc 1664,50
15,1,beer,0.4,carlsberg,carlsberg,50
15,2,beer,0.5,carlsberg,tuborg classic,40
15,22,cider,0.275,carlsberg,somersby,55
15,6,beer,0.5,hancock,høker,65
15,10,shot,0.02,underberg,underberg,30
16,22,cider,0.275,carlsberg,somersby,55
16,4,beer,0.4,carlsberg,tuborg,50
16,2,beer,0.4,carlsberg,tuborg classic,55
16,10,shot,0.02,underberg,underberg,30
17,6,beer,0.4,hancock,høker,65
17,3,beer,0.5,carlsberg,blanc 1664,55
17,10,shot,0.02,underberg,underberg,30
17,22,cider,0.275,carlsberg,somersby,30
17,5,beer,0.4,diageo,guinness,60
17,20,cider,0.275,smirnoff,smirnoff ice,50
18,1,beer,0.4,carlsberg,carlsberg,20
18,5,beer,0.4,diageo,guinness,50
18,21,cider,0.275,cult,mokai,50
18,4,beer,0.5,carlsberg,tuborg,20
18,22,cider,0.275,carlsberg,somersby,45
18,2,beer,0.5,carlsberg,tuborg classic,45
19,3,beer,0.4,carlsberg,blanc 1664,65
19,10,shot,0.02,underberg,underberg,30
19,23,cider,0.275,diageo,bacardi breezer,45
19,22,cider,0.275,carlsberg,somersby,45
19,6,beer,0.4,hancock,høker,40
20,5,beer,0.5,diageo,guinness,50
20,1,beer,0.5,carlsberg,carlsberg,60
20,22,cider,0.275,carlsberg,somersby,55
20,6,beer,0.5,hancock,høker,50
20,4,beer,0.4,carlsberg,tuborg,60
20,2,beer,0.4,carlsberg,tuborg classic,55
20,20,cider,0.275,smirnoff,smirnoff ice,55
21,4,beer,0.4,carlsberg,tuborg,20
21,1,beer,0.5,carlsberg,carlsberg,20
22,1,beer,0.4,carlsberg,carlsberg,60
22,2,beer,0.4,carlsberg,tuborg classic,40
22,20,cider,0.275,smirnoff,smirnoff ice,45
22,3,beer,0.4,carlsberg,blanc 1664,40
22,5,beer,0.5,diageo,guinness,60
22,10,shot,0.02,underberg,underberg,30
22,23,cider,0.275,diageo,bacardi breezer,30
23,5,beer,0.4,diageo,guinness,60
23,4,beer,0.5,carlsberg,tuborg,60
23,6,beer,0.5,hancock,høker,65
23,21,cider,0.275,cult,mokai,45
23,10,shot,0.02,underberg,underberg,35
23,1,beer,0.4,carlsberg,carlsberg,40
24,2,beer,0.4,carlsberg,tuborg classic,55
24,5,beer,0.4,diageo,guinness,55
24,3,beer,0.4,carlsberg,blanc 1664,55
24,6,beer,0.4,hancock,høker,50
24,4,beer,0.4,carlsberg,tuborg,60
24,23,cider,0.275,diageo,bacardi breezer,45
24,20,cider,0.275,smirnoff,smirnoff ice,55
25,2,beer,0.5,carlsberg,tuborg classic,55
25,5,beer,0.4,diageo,guinness,65
25,1,beer,0.4,carlsberg,carlsberg,60
25,4,beer,0.4,carlsberg,tuborg,20
25,6,beer,0.5,hancock,høker,55
25,22,cider,0.275,carlsberg,somersby,39
26,1,beer,0.5,carlsberg,carlsberg,55
26,10,shot,0.02,underberg,underberg,30
26,20,cider,0.275,smirnoff,smirnoff ice,39
27,22,cider,0.275,carlsberg,somersby,39
27,10,shot,0.02,underberg,underberg,35
27,20,cider,0.275,smirnoff,smirnoff ice,50
27,23,cider,0.275,diageo,bacardi breezer,45
27,2,beer,0.4,carlsberg,tuborg classic,55
27,1,beer,0.5,carlsberg,carlsberg,50
27,21,cider,0.275,cult,mokai,45
28,6,beer,0.5,hancock,høker,50
28,10,shot,0.02,underberg,underberg,30
28,20,cider,0.275,smirnoff,smirnoff ice,39
28,23,cider,0.275,diageo,bacardi breezer,30
29,6,beer,0.4,hancock,høker,55
29,3,beer,0.5,carlsberg,blanc 1664,40
30,21,cider,0.275,cult,mokai,50
30,3,beer,0.5,carlsberg,blanc 1664,60
30,4,beer,0.4,carlsberg,tuborg,60
31,5,beer,0.4,diageo,guinness,55
31,10,shot,0.02,underberg,underberg,35
31,6,beer,0.5,hancock,høker,55
31,2,beer,0.5,carlsberg,tuborg classic,55
31,21,cider,0.275,cult,mokai,45
31,20,cider,0.275,smirnoff,smirnoff ice,55
32,23,cider,0.275,diageo,bacardi breezer,45
32,2,beer,0.4,carlsberg,tuborg classic,45
32,22,cider,0.275,carlsberg,somersby,55
33,4,beer,0.5,carlsberg,tuborg,20
33,10,shot,0.02,underberg,underberg,25
34,21,cider,0.275,cult,mokai,45
34,6,beer,0.4,hancock,høker,60
34,20,cider,0.275,smirnoff,smirnoff ice,55
34,5,beer,0.4,diageo,guinness,65
35,5,beer,0.5,diageo,guinness,40
35,20,cider,0.275,smirnoff,smirnoff ice,50
35,10,shot,0.02,underberg,underberg,35
36,5,beer,0.4,diageo,guinness,60
36,2,beer,0.4,carlsberg,tuborg classic,55
36,20,cider,0.275,smirnoff,smirnoff ice,30
37,3,beer,0.4,carlsberg,blanc 1664,60
37,2,beer,0.5,carlsberg,tuborg classic,40
37,23,cider,0.275,diageo,bacardi breezer,30
37,21,cider,0.275,cult,mokai,39
38,21,cider,0.275,cult,mokai,39
38,3,beer,0.5,carlsberg,blanc 1664,60
38,20,cider,0.275,smirnoff,smirnoff ice,55
38,6,beer,0.4,hancock,høker,60
38,23,cider,0.275,diageo,bacardi breezer,50
38,2,beer,0.4,carlsberg,tuborg classic,60
39,20,cider,0.275,smirnoff,smirnoff ice,45
39,3,beer,0.4,carlsberg,blanc 1664,55
39,2,beer,0.4,carlsberg,tuborg classic,20
40,4,beer,0.4,carlsberg,tuborg,45
40,5,beer,0.5,diageo,guinness,60
40,1,beer,0.4,carlsberg,carlsberg,50
40,23,cider,0.275,diageo,bacardi breezer,30
40,2,beer,0.4,carlsberg,tuborg classic,50
40,20,cider,0.275,smirnoff,smirnoff ice,30
40,10,shot,0.02,underberg,underberg,35
41,2,beer,0.5,carlsberg,tuborg classic,20
41,23,cider,0.275,diageo,bacardi breezer,45
41,10,shot,0.02,underberg,underberg,25
41,3,beer,0.5,carlsberg,blanc 1664,55
41,6,beer,0.4,hancock,høker,55
42,23,cider,0.275,diageo,bacardi breezer,45
42,1,beer,0.4,carlsberg,carlsberg,50
43,6,beer,0.5,hancock,høker,55
43,5,beer,0.5,diageo,guinness,50
43,1,beer,0.5,carlsberg,carlsberg,55
44,5,beer,0.4,diageo,guinness,65
44,20,cider,0.275,smirnoff,smirnoff ice,39
44,4,beer,0.5,carlsberg,tuborg,50
44,23,cider,0.275,diageo,bacardi breezer,30
44,3,beer,0.5,carlsberg,blanc 1664,60
44,6,beer,0.4,hancock,høker,55
44,1,beer,0.5,carlsberg,carlsberg,50
45,22,cider,0.275,carlsberg,somersby,50
45,10,shot,0.02,underberg,underberg,30
45,3,beer,0.5,carlsberg,blanc 1664,60
45,1,beer,0.4,carlsberg,carlsberg,60
45,21,cider,0.275,cult,mokai,55
45,2,beer,0.5,carlsberg,tuborg classic,40
46,6,beer,0.4,hancock,høker,40
46,21,cider,0.275,cult,mokai,39
